timestamp,ecg_measurement
6034140,0.275
6038012,0.275
6041904,0.275
6045784,0.28
6049652,0.285
6053532,0.305
6057412,0.325
6061296,0.335
6065180,0.345
6069064,0.36
6072948,0.375
6076836,0.39
6080708,0.41
6084572,0.43
6088452,0.455
6092320,0.485
6096192,0.51
6100064,0.525
6103940,0.55
6107816,0.585
6111688,0.615
6115568,0.65
6119444,0.675
6123312,0.695
6127200,0.72
6131088,0.75
6134964,0.78
6138820,0.805
6142692,0.825
6146548,0.84
6150412,0.855
6154280,0.87
6158148,0.86
6162020,0.845
6165892,0.825
6169772,0.805
6173636,0.775
6177516,0.745
6181396,0.7
6185276,0.655
6189156,0.6
6193036,0.545
6196924,0.495
6200804,0.45
6204692,0.425
6208572,0.4
6212452,0.37
6216324,0.34
6220196,0.335
6224076,0.33
6227948,0.31
6231828,0.29
6235700,0.285
6239580,0.28
6243460,0.275
6247324,0.275
6251196,0.275
6255084,0.27
6258964,0.265
6262832,0.265
6266700,0.27
6270580,0.27
6274456,0.265
6278328,0.265
6282196,0.265
6286084,0.265
6289972,0.265
6293856,0.265
6297740,0.27
6301620,0.275
6305504,0.275
6309364,0.28
6313248,0.29
6317116,0.29
6320996,0.285
6324888,0.285
6328772,0.285
6332652,0.295
6336532,0.31
6340404,0.305
6344292,0.295
6348184,0.3
6352068,0.31
6355948,0.315
6359832,0.315
6363720,0.315
6367608,0.31
6371492,0.305
6375364,0.305
6379248,0.305
6383128,0.305
6387008,0.31
6390876,0.31
6394748,0.305
6398640,0.305
6402504,0.305
6406364,0.3
6410252,0.295
6414116,0.295
6417992,0.295
6421864,0.295
6425744,0.305
6429616,0.305
6433480,0.29
6437344,0.285
6441212,0.29
6445092,0.29
6448956,0.285
6452836,0.285
6456716,0.29
6460600,0.295
6464472,0.295
6468332,0.29
6472224,0.285
6476112,0.285
6479984,0.29
6483864,0.29
6487748,0.285
6491640,0.285
6495512,0.285
6499380,0.285
6503244,0.29
6507136,0.295
6511008,0.295
6514872,0.295
6518740,0.295
6522620,0.285
6526500,0.285
6530384,0.29
6534248,0.295
6538108,0.295
6542000,0.29
6545876,0.285
6549756,0.285
6553636,0.285
6557504,0.285
6561384,0.285
6565260,0.285
6569140,0.29
6573016,0.29
6576884,0.28
6580768,0.275
6584656,0.28
6588524,0.285
6592400,0.29
6596280,0.29
6600148,0.285
6604040,0.285
6607916,0.285
6611780,0.285
6615664,0.29
6619544,0.29
6623416,0.285
6627288,0.29
6631168,0.3
6635056,0.305
6638944,0.305
6642824,0.295
6646688,0.285
6650560,0.29
6654428,0.3
6658312,0.305
6662188,0.31
6666056,0.34
6669940,0.37
6673824,0.39
6677696,0.41
6681568,0.405
6685444,0.405
6689312,0.41
6693196,0.415
6697084,0.46
6700964,0.505
6704844,0.52
6708732,0.525
6712608,0.495
6716476,0.465
6720348,0.435
6724240,0.41
6728112,0.395
6731984,0.38
6735860,0.375
6739732,0.365
6743612,0.345
6747484,0.32
6751340,0.29
6755220,0.265
6759100,0.25
6762980,0.245
6766860,0.245
6770736,0.245
6774604,0.245
6778480,0.25
6782356,0.265
6786220,0.275
6790080,0.275
6793964,0.275
6797844,0.275
6801728,0.275
6805596,0.275
6809468,0.305
6813340,0.345
6817228,0.585
6821108,0.865
6824996,1.34
6828868,1.845
6832740,2.2
6836624,2.54
6840484,2.515
6844348,2.465
6848236,2.135
6852108,1.79
6855980,1.295
6859856,0.82
6863728,0.515
6867608,0.255
6871480,0.205
6875352,0.175
6879212,0.245
6883092,0.285
6886976,0.255
6890860,0.225
6894736,0.205
6898616,0.19
6902488,0.185
6906360,0.185
6910240,0.19
6914112,0.19
6917988,0.185
6921860,0.185
6925732,0.185
6929612,0.19
6933476,0.2
6937348,0.205
6941228,0.205
6945108,0.205
6948996,0.21
6952868,0.215
6956740,0.215
6960620,0.22
6964500,0.23
6968368,0.235
6972236,0.235
6976116,0.255
6979996,0.28
6983868,0.285
6987740,0.29
6991620,0.31
6995484,0.33
6999348,0.35
7003228,0.375
7007100,0.4
7010980,0.425
7014868,0.435
7018740,0.445
7022616,0.48
7026480,0.515
7030352,0.535
7034228,0.56
7038116,0.59
7041996,0.62
7045876,0.65
7049740,0.68
7053612,0.705
7057476,0.73
7061340,0.745
7065220,0.76
7069100,0.775
7072964,0.775
7076828,0.76
7080708,0.74
7084588,0.715
7088476,0.685
7092348,0.65
7096228,0.6
7100108,0.545
7103992,0.49
7107876,0.44
7111748,0.4
7115620,0.365
7119500,0.325
7123380,0.285
7127264,0.26
7131148,0.245
7135024,0.23
7138912,0.215
7142792,0.19
7146680,0.165
7150552,0.165
7154416,0.165
7158296,0.16
7162168,0.155
7166040,0.155
7169912,0.15
7173796,0.145
7177676,0.145
7181556,0.145
7185444,0.14
7189316,0.135
7193196,0.135
7197076,0.14
7200956,0.145
7204836,0.16
7208724,0.17
7212608,0.155
7216480,0.145
7220356,0.155
7224224,0.16
7228100,0.15
7231988,0.145
7235876,0.155
7239740,0.165
7243620,0.165
7247492,0.17
7251356,0.18
7255232,0.185
7259108,0.185
7263000,0.18
7266860,0.175
7270748,0.175
7274628,0.175
7278496,0.175
7282364,0.18
7286252,0.185
7290140,0.185
7294012,0.185
7297896,0.19
7301764,0.195
7305656,0.195
7309508,0.195
7313380,0.195
7317264,0.185
7321144,0.175
7325024,0.175
7328912,0.18
7332784,0.175
7336664,0.175
7340540,0.175
7344412,0.175
7348284,0.175
7352156,0.17
7356040,0.165
7359920,0.165
7363800,0.17
7366660,0.175
7371560,0.175
7375444,0.17
7379328,0.16
7383208,0.155
7387080,0.16
7390968,0.165
7394848,0.17
7398728,0.17
7402600,0.165
7406468,0.16
7410348,0.155
7414232,0.155
7418112,0.16
7421996,0.165
7425876,0.165
7429764,0.165
7433644,0.165
7437508,0.165
7441380,0.165
7445260,0.16
7449140,0.155
7453028,0.16
7456908,0.17
7460792,0.175
7464652,0.175
7468524,0.17
7472392,0.165
7476268,0.165
7480132,0.17
7484020,0.165
7487908,0.155
7491800,0.16
7495676,0.165
7499560,0.17
7503428,0.175
7507292,0.18
7511172,0.18
7515052,0.17
7518932,0.165
7522824,0.17
7526708,0.17
7530576,0.165
7534436,0.165
7538316,0.17
7542196,0.175
7546084,0.18
7549972,0.185
7553848,0.185
7557724,0.185
7561604,0.185
7565484,0.185
7569360,0.185
7573236,0.185
7577116,0.185
7580996,0.185
7584876,0.185
7588756,0.19
7592636,0.2
7596520,0.225
7600384,0.26
7604260,0.285
7608132,0.3
7612004,0.3
7615896,0.295
7619776,0.295
7623652,0.295
7627528,0.34
7631400,0.395
7635284,0.41
7639168,0.42
7643036,0.395
7646920,0.365
7650796,0.33
7654672,0.3
7658548,0.29
7662416,0.28
7666296,0.255
7670176,0.235
7674056,0.235
7677932,0.225
7681796,0.19
7685668,0.16
7689532,0.145
7693396,0.135
7697268,0.135
7701148,0.135
7705028,0.135
7708916,0.135
7712792,0.135
7716668,0.135
7720540,0.145
7724420,0.155
7728292,0.155
7732156,0.155
7736028,0.16
7739908,0.19
7743780,0.24
7747652,0.46
7751516,0.795
7755396,1.22
7759276,1.7
7763148,2.07
7767020,2.39
7770900,2.38
7774780,2.26
7778664,1.895
7782536,1.455
7786408,1.02
7790292,0.58
7794184,0.335
7798064,0.12
7801940,0.105
7805820,0.11
7809700,0.13
7813576,0.15
7817452,0.13
7821324,0.11
7825200,0.09
7829080,0.075
7832960,0.075
7836844,0.075
7840724,0.075
7844588,0.075
7848468,0.075
7852332,0.07
7856212,0.065
7860092,0.065
7863964,0.065
7867856,0.07
7871736,0.09
7875620,0.1
7879492,0.095
7883364,0.095
7887244,0.1
7891116,0.105
7894988,0.12
7898868,0.135
7902748,0.16
7906628,0.18
7910500,0.19
7914364,0.195
7918244,0.2
7922124,0.22
7926012,0.245
7929892,0.265
7933764,0.28
7937636,0.305
7941508,0.335
7945384,0.36
7949256,0.38
7953144,0.4
7957032,0.42
7960912,0.46
7964800,0.5
7968668,0.525
7972544,0.555
7976412,0.585
7980292,0.615
7984172,0.63
7988048,0.645
7991936,0.655
7995816,0.665
7999684,0.665
8003552,0.66
8007432,0.64
8011304,0.61
8015180,0.565
8019064,0.52
8022936,0.485
8026824,0.445
8030696,0.395
8034552,0.345
8038412,0.305
8042288,0.265
8046156,0.225
8050044,0.19
8053924,0.165
8057804,0.145
8061696,0.135
8065548,0.125
8069420,0.11
8073292,0.095
8077176,0.08
8081044,0.07
8084932,0.065
8088812,0.065
8092700,0.07
8096552,0.065
8100432,0.055
8104304,0.05
8108176,0.045
8112048,0.05
8115920,0.06
8119788,0.06
8123672,0.055
8127532,0.055
8131400,0.055
8135272,0.065
8139152,0.07
8143032,0.065
8146896,0.065
8150772,0.065
8154648,0.065
8158524,0.07
8162404,0.075
8166276,0.075
8170168,0.075
8174040,0.08
8177928,0.085
8181796,0.09
8185676,0.095
8189552,0.095
8193412,0.09
8197292,0.085
8201164,0.08
8205040,0.075
8208916,0.075
8212788,0.085
8216668,0.095
8220540,0.095
8224416,0.095
8228284,0.095
8232160,0.095
8236028,0.095
8239916,0.095
8243804,0.095
8247688,0.095
8251556,0.095
8255420,0.085
8259284,0.075
8263140,0.075
8267024,0.08
8270896,0.085
8274772,0.09
8278660,0.085
8282528,0.075
8286392,0.075
8290268,0.075
8294140,0.07
8298024,0.065
8301900,0.07
8305764,0.07
8309644,0.06
8313520,0.055
8317396,0.07
8321284,0.085
8325168,0.085
8329044,0.08
8332924,0.075
8336804,0.07
8340688,0.06
8344560,0.055
8348436,0.06
8352324,0.065
8356196,0.07
8360080,0.075
8363944,0.075
8367832,0.07
8371720,0.065
8375596,0.065
8379468,0.07
8383340,0.065
8387220,0.055
8391104,0.06
8394972,0.075
8398860,0.08
8402728,0.075
8406592,0.07
8410452,0.065
8414320,0.07
8418188,0.08
8422072,0.075
8425948,0.065
8429824,0.07
8433708,0.08
8437576,0.075
8441448,0.065
8445328,0.065
8449208,0.07
8453076,0.075
8456940,0.085
8460812,0.075
8464684,0.075
8468540,0.08
8472396,0.085
8476268,0.085
8480156,0.085
8484044,0.085
8487916,0.085
8491788,0.115
8495668,0.14
8499532,0.165
8503396,0.185
8507256,0.19
8511132,0.19
8515008,0.18
8518888,0.185
8522756,0.22
8526628,0.26
8530516,0.3
8534388,0.325
8538256,0.325
8542124,0.3
8546004,0.255
8549888,0.22
8553772,0.2
8557652,0.185
8561528,0.175
8565396,0.165
8569276,0.155
8573156,0.13
8577036,0.1
8580908,0.075
8584788,0.05
8588676,0.035
8592556,0.025
8596432,0.025
8600320,0.03
8604212,0.045
8608092,0.06
8611976,0.06
8615844,0.055
8619724,0.06
8623604,0.06
8627492,0.055
8631356,0.055
8635240,0.095
8639112,0.155
8642992,0.34
8646860,0.575
8650744,1.04
8654612,1.495
8658476,1.925
8662332,2.25
8666196,2.29
8670068,2.24
8673948,2.015
8677812,1.7
8681692,1.22
8685564,0.755
8689436,0.315
8693316,0.045
8697196,-0.01
8701084,-0.02
8704948,0.02
8708816,0.035
8712696,0.025
8716564,0.015
8720432,0
8724300,-0.01
8728184,-0.03
8732064,-0.035
8735940,-0.035
8739812,-0.035
8743692,-0.035
8747552,-0.035
8751424,-0.035
8755304,-0.03
8759180,-0.025
8763048,-0.025
